source_taxon	source_taxon_name	kingdom	avg_mapq	precision	precision_mapq_at_least_30
2601844	Picochlorum sp. BH-2019	Plants	22.566	0.836	1.000
1081102	Sporothrix insectorum RCEF 264	Fungi	22.595	0.898	0.978
267566	Skeletonema dohrnii	Protists	22.596	0.910	0.993
1334442	Cryptococcus gattii VGII 2001/935-1	Fungi	22.600	0.898	0.990
1397361	Sporothrix schenckii 1099-18	Fungi	22.625	0.917	0.977
95322	Fragosphaeria purpurea	Fungi	22.633	0.917	0.978
5128	Fusarium sambucinum	Fungi	22.635	0.916	0.994
6185	Schistosoma haematobium	Metazoa	22.661	0.828	0.960
2590035	Micromonas sp. SAG5	Plants	22.667	1.000	1.000
7451	Vespula	Metazoa	22.712	0.894	0.986
2590006	Ostreococcus sp. SAG11	Plants	22.714	0.714	1.000
53984	Phytophthora citricola	Protists	22.730	0.818	0.961
44066	Geotrichum fermentans	Fungi	22.731	0.793	0.993
1580867	Huntiella savannae	Fungi	22.745	0.904	0.994
690259	Colletotrichum siamense	Fungi	22.770	0.909	0.994
5679	Leishmania panamensis	Protists	22.778	0.722	0.750
363999	Xylaria grammica	Fungi	22.779	0.924	0.984
196064	Calonectria pseudonaviculata	Fungi	22.781	0.832	0.986
663202	Trichophyton verrucosum HKI 0517	Fungi	22.789	0.918	0.991
6852	Tachypleus gigas	Metazoa	22.797	0.886	0.988
56646	Fusarium venenatum	Fungi	22.815	0.921	0.988
103775	Drosophila gunungcola	Metazoa	22.817	0.937	0.989
1448315	Aspergillus uvarum CBS 121591	Fungi	22.864	0.908	0.994
1608916	Laparus doris doris	Metazoa	22.900	0.933	1.000
5757	Acanthamoeba polyphaga	Protists	22.922	0.784	0.925
2078593	Colletotrichum shisoi	Fungi	22.950	0.946	0.997
2006715	Synergus gifuensis	Metazoa	23.010	0.887	0.984
5052	Aspergillus	Fungi	23.044	0.896	0.992
38574	Leishmania donovani species complex	Protists	23.075	0.925	1.000
683840	Microbotryum lychnidis-dioicae p1A1 Lamole	Fungi	23.091	0.818	1.000
123217	Anopheles cracens	Metazoa	23.092	0.891	0.966
1257118	Acanthamoeba castellanii str. Neff	Protists	23.102	0.815	0.969
370302	Microbotryum silenes-acaulis	Fungi	23.119	0.892	0.983
1314777	Sistotremastrum niveocremeum HHB9708	Fungi	23.154	0.865	0.966
626734	Schmidingerella taraikaensis	Protists	23.167	0.833	1.000
53985	Phytophthora fragariae	Protists	23.171	0.819	0.954
880535	Plasmodium sp. gorilla clade G2	Protists	23.171	0.857	1.000
254877	Penicillium flavigenum	Fungi	23.176	0.916	0.989
6304	Meloidogyne arenaria	Metazoa	23.178	0.800	0.994
38443	Myriosclerotinia scirpicola	Fungi	23.181	0.912	0.991
1365484	Penicillium roqueforti FM164	Fungi	23.184	0.913	0.986
32599	Acanthamoeba rhysodes	Protists	23.192	0.886	0.990
307492	Aphis craccivora	Metazoa	23.216	0.930	0.995
2489100	Prasinococcaceae sp. CCMP 1430	Plants	23.237	0.771	0.980
47315	Drosophila auraria	Metazoa	23.265	0.900	0.983
367110	Neurospora crassa OR74A	Fungi	23.278	0.881	0.982
7493	Trichogramma pretiosum	Metazoa	23.279	0.911	0.980
13792	Mamiellales	Plants	23.333	0.667	1.000
29892	Auricularia auricula-judae	Fungi	23.357	0.851	0.944
87126	Rhizopogon parksii	Fungi	23.385	0.899	0.995
6848	Carcinoscorpius rotundicauda	Metazoa	23.394	0.897	0.991
1940564	Juglanconis	Fungi	23.403	0.896	0.989
69766	Penicillium capsulatum	Fungi	23.428	0.939	0.997
1580211	Fusarium sp. JS626	Fungi	23.441	0.938	0.991
1807683	Metschnikowia sp. 00-154.1	Fungi	23.441	0.906	1.000
108355	Myriosclerotinia duriaeana	Fungi	23.459	0.924	0.986
29057	Ostrinia nubilalis	Metazoa	23.466	0.921	0.987
5260	Melampsora	Fungi	23.483	0.933	1.000
2039272	Moesziomyces sp. F5C1	Fungi	23.509	0.902	0.976
5076	Penicillium chrysogenum	Fungi	23.548	0.924	0.991
2070412	Rutstroemia sp. NJR-2017a WRK4	Fungi	23.615	0.900	0.967
53983	Phytophthora cambivora	Protists	23.645	0.930	0.984
1262459	Ganoderma boninense PER71	Fungi	23.667	0.778	1.000
267567	Skeletonema marinoi	Protists	23.692	0.951	0.986
246452	Megastigmus dorsalis	Metazoa	23.702	0.917	0.983
2018661	Diploscapter pachys	Metazoa	23.719	0.874	0.986
301368	Metschnikowia mauinuiana	Fungi	23.738	0.910	0.991
165777	Magnaporthiopsis rhizophila	Fungi	23.741	0.901	0.991
292152	Pseudomyrmex concolor	Metazoa	23.778	0.922	1.000
5658	Leishmania	Protists	23.818	0.955	1.000
6306	Meloidogyne incognita	Metazoa	23.865	0.816	0.951
431241	Trichoderma reesei QM6a	Fungi	23.879	0.931	0.991
7251	Drosophila lowei	Metazoa	23.889	0.934	1.000
660122	[Nectria] haematococca mpVI 77-13-4	Fungi	23.894	0.872	0.966
2498572	Cryptosporidium sp. 37763	Protists	23.929	0.833	1.000
56622	Pseudomyrmex pallidus	Metazoa	23.979	0.929	0.996
1051617	Verticillium zaregamsianum	Fungi	23.985	0.917	0.997
2175967	Suillus sp. MG131	Fungi	24.032	0.863	0.994
1086592	Cataglyphis hispanica	Metazoa	24.066	0.919	0.979
2006714	Synergus itoensis	Metazoa	24.076	0.929	0.992
858221	Trichoderma parareesei	Fungi	24.085	0.915	0.994
1314776	Sistotremastrum suecicum HHB10207 ss-3	Fungi	24.095	0.867	0.996
1036719	Verticillium	Fungi	24.100	0.906	0.986
139420	Polyporus brumalis	Fungi	24.138	0.926	0.997
663331	Trichophyton benhamiae CBS 112371	Fungi	24.187	0.909	0.982
7490	Trichogramma	Metazoa	24.203	0.942	0.981
301365	Metschnikowia hamakuensis	Fungi	24.211	0.919	0.997
2589998	Bathycoccus sp. SAG3	Plants	24.222	0.889	1.000
292159	Pseudomyrmex flavicornis	Metazoa	24.266	0.926	0.996
278938	Botrytis elliptica	Fungi	24.268	0.909	0.997
1835702	Penicillium arizonense	Fungi	24.294	0.928	0.989
182096	Aspergillus chevalieri	Fungi	24.321	0.941	0.995
180088	Rhizopogon vesiculosus	Fungi	24.333	0.870	0.990
162120	Pseudoperonospora humuli	Protists	24.340	0.862	0.982
32335	virilis group	Metazoa	24.347	0.948	0.993
418107	Plasmodium (Laverania)	Protists	24.353	0.941	1.000
256003	Heterobasidion annosum species complex	Fungi	24.357	1.000	1.000
298350	Meloidogyne floridensis	Metazoa	24.370	0.741	0.929
40199	Fusarium avenaceum	Fungi	24.393	0.919	0.992
1974281	Rachicladosporium sp. CCFEE 5018	Fungi	24.418	0.912	0.989
265572	Extubocellulus spinifer	Protists	24.432	1.000	1.000
272242	Pteromalinae	Metazoa	24.438	0.938	1.000
703756	Colletotrichum simmondsii	Fungi	24.438	0.933	1.000
796604	Microbotryum silenes-dioicae	Fungi	24.443	0.910	0.994
1425883	Verticillium tricorpus MUCL 9792	Fungi	24.446	0.909	0.997
331117	Aspergillus fischeri NRRL 181	Fungi	24.469	0.912	0.995
1314778	Polyporus arcularius HHB13444	Fungi	24.478	0.889	0.972
43146	Rhopalosiphum maidis	Metazoa	24.500	0.915	0.991
6105	Actinia tenebrosa	Metazoa	24.518	0.908	0.994
1391699	Pseudogymnoascus sp. VKM F-3808	Fungi	24.532	0.920	0.990
30023	Drosophila elegans	Metazoa	24.532	0.927	0.990
5754	Acanthamoeba	Protists	24.559	0.859	0.991
1001938	Hypoxylon sp. CO27-5	Fungi	24.569	0.930	0.988
137070	Drosophila tani	Metazoa	24.571	0.923	0.993
41984	Aspergillus tamarii	Fungi	24.589	0.922	0.995
27323	Metschnikowia hawaiiensis	Fungi	24.627	0.911	0.991
