# Summary: 
# | Name | No results | One result, correct genus | Many results, correct genus | One result, incorrect genus | Many results, incorrect genus | Signal detected | Detected signal is one species |
# | -- | -- | -- | -- | -- | -- | -- | -- |
# | No filter | 58 | 16 | 68 | 22 | 174 | 0.828 | 0.136 |
# | m2 | 105 | 43 | 92 | 16 | 82 | 0.689 | 0.253 |
# | M30 | 186 | 68 | 51 | 15 | 18 | 0.45 | 0.546 |
# | r4 | 131 | 50 | 83 | 15 | 59 | 0.612 | 0.314 |
# | m2M30 | 211 | 61 | 43 | 14 | 9 | 0.376 | 0.591 |
# | m2r4 | 132 | 50 | 83 | 15 | 58 | 0.609 | 0.316 |
# | r4M30 | 219 | 59 | 40 | 16 | 4 | 0.352 | 0.63 |
# | m2r4M30 | 221 | 59 | 39 | 15 | 4 | 0.346 | 0.632 |
# | EukDetect | 221 | 80 | 18 | 15 | 4 | 0.346 | 0.812 |
# | modified EukDetect (MAPQ>=5) | 179 | 77 | 41 | 19 | 22 | 0.47 | 0.604 |
# | our method | 133 | 107 | 29 | 57 | 12 | 0.607 | 0.8 |
# Values legend: 
# NR: No results
# OC: One result, correct genus
# MC: Many results, correct genus
# OI: One result, incorrect genus
# MI: Many results, incorrect genus
#
species	No filter	m2	M30	r4	m2M30	m2r4	r4M30	m2r4M30	EukDetect	modified EukDetect (MAPQ>=5)	our method
61284|Fusarium tricinctum	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	OC
61478|Timema douglasi	MC	MC	MC	MC	MC	MC	MC	MC	OC	OC	MC
62324|Anopheles funestus	MC	MC	NR	MC	NR	MC	NR	NR	NR	MC	OC
62625|Varroa jacobsoni	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
63396|Ustilago cynodontis	MI	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
64657|Tremella fuciformis	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
64838|Fopius arisanus	MI	OI	NR	OI	NR	OI	NR	NR	NR	NR	OI
65659|Acanthamoeba comandoni	MC	MC	OC	MC	NR	MC	NR	NR	NR	OC	OC
66581|Hypochthonius rufulus	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
67531|Drosophila lacteicornis	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC	MC
69463|Henneguya salminicola	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
69788|Penicillium sclerotiorum	MI	OC	NR	NR	NR	NR	NR	NR	NR	NR	OC
70186|Spongospora subterranea	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
71717|Coprinellus micaceus	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
71782|Holtermannia corniformis	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
71804|Trypanosoma grayi	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
73520|Metschnikowia hibisci	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
74722|Stachybotrys chartarum	MI	MI	OC	MI	OC	MI	OC	OC	OC	OC	OC
74873|Anopheles sinensis	MI	MC	NR	MC	NR	MC	NR	NR	NR	NR	MC
75152|Andricus curvator	MI	MI	MI	MI	NR	MI	NR	NR	NR	MI	OI
75733|Wickerhamiella cacticola	OC	OC	NR	NR	NR	NR	NR	NR	NR	NR	NR
75913|Strongyloides venezuelensis	MC	MC	OC	OC	OC	OC	OC	OC	OC	OC	OC
77928|Proteomonas sulcata	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
79782|Cimex lectularius	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
81058|Tinctoporellus epimiltinus	MI	MI	NR	NR	NR	NR	NR	NR	NR	NR	OI
82513|Apiotrichum brassicae	MI	MI	NR	MI	NR	MI	NR	NR	NR	NR	OI
83487|Papilio dardanus tibullus	MI	MC	NR	MC	NR	MC	NR	NR	NR	NR	OC
84753|Moesziomyces antarcticus	MI	MI	OC	MI	OC	MI	OC	OC	OC	MI	OI
87111|Aplanochytrium kerguelense	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
87257|Evernia prunastri	MI	MI	OI	MI	NR	MI	OI	NR	NR	OI	OI
88015|Eurytemora affinis	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
88271|Picocystis salinarum	OC	OC	NR	OC	NR	OC	NR	NR	NR	NR	NR
89487|Basipetospora chlamydospora	MI	MI	NR	NR	NR	NR	NR	NR	NR	NR	OI
89489|Monascus ruber	MI	MI	OC	MI	OC	MI	OC	OC	OC	OC	OC
89770|Paraphysomonas bandaiensis	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
91422|Polistes metricus	MI	MC	MC	MC	MC	MC	MC	MC	OC	MC	MC
91928|Exophiala spinifera	MI	OC	OC	OC	NR	OC	NR	NR	NR	OC	OC
91930|Coniochaeta hoffmannii	MI	MI	NR	MC	NR	MC	NR	NR	NR	NR	MI
95322|Fragosphaeria purpurea	MI	MI	OI	MI	OI	MI	OI	OI	OI	OI	OI
96373|Leptographium lundbergii	MI	MI	OI	MI	OI	MI	OI	OI	OI	OI	OI
97093|Trichoderma koningii	MC	MC	MC	MC	MC	MC	MC	MC	OC	OC	OC
97331|Arthrobotrys flagrans	MI	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
99802|Spirometra erinaceieuropaei	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
101297|Conus consors	MI	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
106004|Leucosporidium creatinivorum	MI	OC	OC	OC	OC	OC	OC	OC	OC	OC	OC
107032|Oikopleura longicauda	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
109331|Citeromyces siamensis	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
111886|Aphantopus hyperantus	MI	MI	OI	MI	OI	MI	OI	OI	OI	OI	OI
113399|Amauroascus mutatus	MI	MI	NR	OC	NR	OC	NR	NR	NR	NR	OC
113606|Tetrapisispora iriomotensis	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
114818|Xylaria longipes	MI	MI	OC	MI	NR	MI	NR	NR	NR	MI	OI
114840|Erythrobasidium yunnanense	OC	OC	OC	OC	OC	OC	NR	NR	NR	OC	OC
115357|Harmonia axyridis	MI	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR
115425|Cochliomyia hominivorax	MI	MI	NR	MI	NR	MI	NR	NR	NR	OI	OI
119933|Stemphylium vesicarium	MI	MI	OC	MI	OC	MI	OC	OC	OC	MI	OC
125945|Drosophila biarmipes	MI	MC	OC	MC	NR	MC	NR	NR	NR	MC	OC
133408|Acytostelium leptosomum	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
137070|Drosophila tani	MI	MC	MC	MC	MC	MC	MC	MC	OC	MC	OC
143450|Mycosphaerella arachidis	MI	MI	OI	MI	NR	MI	NR	NR	NR	OI	OI
143948|Diuraphis noxia	MI	MI	MI	MI	NR	MI	NR	NR	NR	MI	OI
151077|Chilodonella uncinata	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
152616|Delias pasithoe	MI	OI	NR	OI	NR	OI	NR	NR	NR	NR	OI
156173|Haptolina brevifila	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
161770|Plectrocnemia conspersa	OI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
166423|Melipona quadrifasciata	MI	MI	MI	MI	MI	MI	OI	OI	OI	MI	OI
166479|Homolaphlyctis polyrhiza JEL 142	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
169489|Malassezia dermatis	MC	MC	OC	MC	OC	MC	OC	OC	OC	OC	OC
181123|Austropuccinia psidii	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
181874|Panaeolus cyanescens	MI	NR	NR	NR	NR	NR	NR	NR	NR	NR	NR
182096|Aspergillus chevalieri	MC	OC	OC	MC	OC	OC	OC	OC	OC	OC	OC
182846|Calonectria naviculata	MI	MI	NR	MI	NR	MI	NR	NR	NR	OC	MI
189258|Drosophila micromelanica	MC	MC	MC	MC	MC	MC	MC	MC	OC	MC	OC
211096|Hanseniaspora opuntiae	MC	MC	OC	MC	OC	MC	OC	OC	OC	OC	OC
